name,row,column,value
A,0,0,0.0139492299593
A,0,1,0.498802093293
A,0,2,0.617927763876
A,0,3,0.313232836172
A,0,4,0.898601494746
A,0,5,0.941633409965
A,0,6,0.422015374786
A,0,7,0.942376532816
A,0,8,0.36494922825
A,0,9,0.66100008617
A,1,0,0.677464491847
A,1,1,0.615153426705
A,1,2,0.282971502702
A,1,3,0.8586463001
A,1,4,0.62288013634
A,1,5,0.868665679106
A,1,6,0.912909834953
A,1,7,0.617406215268
A,1,8,0.365811309332
A,1,9,0.44074218998
A,2,0,0.284582372698
A,2,1,0.104246761643
A,2,2,0.26941619124
A,2,3,0.245598957922
A,2,4,0.613538192073
A,2,5,0.947017008848
A,2,6,0.284029723999
A,2,7,0.269303350139
A,2,8,0.0573342420926
A,2,9,0.909005862039
A,3,0,0.718125967806
A,3,1,0.76902449258
A,3,2,0.946893313977
A,3,3,0.89407629705
A,3,4,0.780219549636
A,3,5,0.932845317021
A,3,6,0.626740826926
A,3,7,0.337787853252
A,3,8,0.642349406546
A,3,9,0.646128052964
A,4,0,0.287484413481
A,4,1,0.574716717393
A,4,2,0.929717383731
A,4,3,0.126900765996
A,4,4,0.355301849239
A,4,5,0.441385518349
A,4,6,0.464120609339
A,4,7,0.905506779243
A,4,8,0.728262987603
A,4,9,0.00708093802141
A,5,0,0.483719148849
A,5,1,0.308828957105
A,5,2,0.330421746335
A,5,3,0.0458503813779
A,5,4,0.392217382056
A,5,5,0.59111711996
A,5,6,0.763112668627
A,5,7,0.0499693354028
A,5,8,0.318846237278
A,5,9,0.438714687749
A,6,0,0.674113722784
A,6,1,0.846695403138
A,6,2,0.534677986016
A,6,3,0.532062712825
A,6,4,0.049165237407
A,6,5,0.117694293981
A,6,6,0.48096182242
A,6,7,0.132260101385
A,6,8,0.446664859369
A,6,9,0.873283548102
A,7,0,0.51183816615
A,7,1,0.691771405217
A,7,2,0.0633144782635
A,7,3,0.0637328736116
A,7,4,0.984392907455
A,7,5,0.205736036852
A,7,6,0.53899133157
A,7,7,0.0267465899628
A,7,8,0.00649201173663
A,7,9,0.10171050362
A,8,0,0.824079387583
A,8,1,0.44549175514
A,8,2,0.0961963987045
A,8,3,0.460546118635
A,8,4,0.606397001816
A,8,5,0.461164451293
A,8,6,0.214012655247
A,8,7,0.272661577826
A,8,8,0.836383065384
A,8,9,0.635863968201
A,9,0,0.224555965007
A,9,1,0.0892183971772
A,9,2,0.963737793778
A,9,3,0.335246352663
A,9,4,0.108195119548
A,9,5,0.85787442669
A,9,6,0.828130520362
A,9,7,0.613503358789
A,9,8,0.261979900359
A,9,9,0.12984290877
